FIR_ID,Person,Location,Phone,Related_Person,Relationship
FIR001,Ravi,Kochi,9876543210,Arun,associate
FIR001,Arun,Kochi,9876543211,Kumar,associate
FIR001,Kumar,Kochi,9876543212,Manu,friend
FIR002,Kumar,Thrissur,9876543212,Manu,associate
FIR002,Manu,Thrissur,9876543213,Ravi,friend
FIR002,Ravi,Thrissur,9876543210,Joseph,associate
FIR003,Arun,Kochi,9876543211,Joseph,associate
FIR003,Joseph,Alappuzha,9876543214,Kumar,associate
FIR003,Kumar,Alappuzha,9876543212,Arun,friend
FIR004,Joseph,Alappuzha,9876543214,Vijay,associate
FIR004,Vijay,Alappuzha,9876543215,Kumar,associate
FIR004,Kumar,Kochi,9876543212,Ravi,friend
FIR005,Vijay,Kottayam,9876543215,Manu,associate
FIR005,Manu,Kottayam,9876543213,Arun,associate
FIR005,Arun,Kochi,9876543211,Ravi,friend
FIR006,Joseph,Alappuzha,9876543214,Kumar,associate
FIR006,Kumar,Alappuzha,9876543212,Vijay,associate
FIR006,Vijay,Kochi,9876543215,Arun,associate
FIR007,Manu,Thrissur,9876543213,Ravi,associate
FIR007,Ravi,Thrissur,9876543210,Kumar,associate
FIR007,Kumar,Kochi,9876543212,Joseph,friend
FIR008,Vijay,Kottayam,9876543215,Arun,associate
FIR008,Arun,Kochi,9876543211,Kumar,associate
FIR008,Kumar,Kochi,9876543212,Manu,associate
FIR009,Joseph,Alappuzha,9876543214,Ravi,associate
FIR009,Ravi,Kochi,9876543210,Kumar,associate
FIR009,Kumar,Kochi,9876543212,Vijay,associate
FIR010,Manu,Thrissur,9876543213,Arun,associate
FIR010,Arun,Kochi,9876543211,Joseph,associate
FIR010,Joseph,Alappuzha,9876543214,Kumar,associate
